"LRIMOShipNo","ShipName","ShipStatus","ShipStatusEffectiveDate","YearOfBuild","Deadweight","GrossTonnage","ClassificationSociety","FlagName","ShiptypeLevel5","Powerkwmax","Powerkwservice","Powerbhpihpshpmax","Powerbhpihpshpservice","FuelConsumptionMainEnginesonly","FuelConsumptionTotal","FuelType1Capacity","FuelType1Code","FuelType1First","FuelType2Capacity","FuelType2Code","FuelType2Second","NumberOfAllEngines","NumberOfAuxiliaryEngines","NumberofMainEngines","MainEngineDesigner","MainEngineModel","MainEngineStrokeType","MainEngineType","TEU","GroupBeneficialOwner","GroupBeneficialOwnerCountryOfControl","GroupBeneficialOwnerCountryofDomicile","Operator","OperatorCountryOfControl","OperatorCountryofDomicileName","RegisteredOwner","RegisteredOwnerCountryOfControl","RegisteredOwnerCountryofDomicile","ShipManager","ShipManagerCompanyCode","ShipManagerCountryOfControl","ShipManagerCountryofDomicileName","ShipManagerCountryOfRegistration","ShipManagerCoutryofDomicileCode","TechnicalManager","TechnicalManagerCode","TechnicalManagerCountryOfControl","TechnicalManagerCountryOfDomicile","TechnicalManagerCountryOfDomicileCode","TechnicalManagerCountryOfRegistration","DOCCompany","DOCCompanyCountryofDomicile","DOCCompanyCountryofDomicilecode","DOCCountryOfControl","DOCCountryOfRegistration","DocumentofComplianceDOCCompanyCode"
"8668420","VU HOANG 08","In Service/Commission","20081222","2008",3264,1599,"Vietnam Register (Contemplated) 2008-12","Vietnam","General Cargo Ship",720,0,979,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","CW8200ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Vu Hoang Transport Co Ltd","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Vu Hoang Transport Co Ltd","4153047","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8668432","PHU HUNG 09-ALCI","In Service/Commission","20090330","2009",3089,1599,"Vietnam Register 2009-03","Vietnam","General Cargo Ship",735,0,999,0,.00,.00,113.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","8300ZLCZA","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Thuan An Shipping JSC","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Thuan An Shipping JSC","4204167","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8668444","THUAN AN 09","In Service/Commission","20090309","2009",3089,1599,"Vietnam Register 2009-03","Vietnam","General Cargo Ship",735,0,999,0,.00,.00,113.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","8300ZLCZA","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Phu Hai Hung Trading Shipping","Vietnam","Vietnam","Financial Leasing Co II","Vietnam","Vietnam","Phu Hai Hung Trading Shipping","5770001","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8668456","PHU LAM 10","In Service/Commission","20061122","2006",2030,1140,"Vietnam Register 2006-11","Vietnam","General Cargo Ship",510,0,694,0,.00,.00,92.20,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","R6160ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Phu Lam","Vietnam","Vietnam","Phu Lam","Vietnam","Vietnam","Phu Lam","5227462","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8668559","PHU LAM 16","In Service/Commission","20090122","2009",1949,999,"Vietnam Register 2009-01","Vietnam","General Cargo Ship",510,0,694,0,.00,.00,46.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","R6160ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Phu Lam","Vietnam","Vietnam","Phu Lam","Vietnam","Vietnam","Phu Lam","5227462","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8668585","THANH PHAT 08-ALCI","In Service/Commission","20081229","2008",1457,806,"Vietnam Register 2008-12","Vietnam","General Cargo Ship",514,0,698,0,.00,.00,22.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","6160A","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Thanh Phat Shipping Agency","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Thanh Phat Shipping Agency","4204286","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8668949","PHUONG MAI 01","In Service/Commission","20081203","2008",1067,495,"Vietnam Register 2008-12","Vietnam","General Cargo Ship",300,0,408,0,.00,.00,12.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","6160ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Phuong Mai Co Ltd","Vietnam","Vietnam","Agribank Leasing Co II","Vietnam","Vietnam","Phuong Mai Co Ltd","5429061","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669010","TOAN THANG 68-ALCI","In Service/Commission","20081002","2008",2794,1740,"Vietnam Register 2008-10","Vietnam","Products Tanker",1100,935,1496,1271,.00,.00,71.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","8300ZLCZA","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Dong Nam A Petroleum PSC","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Dong Nam A Petroleum PSC","4204520","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669058","SSIC 01","In Service/Commission","20060427","2006",36,165,"Vietnam Register 2006-06","Vietnam","Tug",1660,0,2256,0,.00,.00,34.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"G.M. (Detroit Diesel)","16V-92-TA","2","Oil",0,"Sai Gon Shipbuiding Industry","","Vietnam","Sai Gon Shipbuiding Industry","","Vietnam","Sai Gon Shipbuiding Industry","","Vietnam","Sai Gon Shipbuiding Industry","4204547","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669242","TU THANH 126","In Service/Commission","20081020","2008",3022,1596,"Vietnam Register 2008-10","Vietnam","General Cargo Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"S.K.L.","8NVD48-2U","4","Oil",0,"Hung Hung Trade & Transport Co","Vietnam","Vietnam","Hung Hung Trade & Transport Co","Vietnam","Vietnam","Hung Hung Trade & Transport Co","Vietnam","Vietnam","Hung Hung Trade & Transport Co","5776601","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669254","HAI XUAN 1168","In Service/Commission","20090318","2009",3183,1599,"Vietnam Register 2009-03","Vietnam","General Cargo Ship",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","CW8200ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Hong Phuc Seaing Transport Svc","","Vietnam","Financial Leasing Co II","Vietnam","Vietnam","Hong Phuc Seaing Transport Svc","4204808","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669321","HUNG HAU 07-ALCI","In Service/Commission","20090529","2009",3148,1599,"Vietnam Register 2009-05","Vietnam","General Cargo Ship",1103,0,1500,0,.00,.00,50.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","8300ZLC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Hung Hau River Sea Transport","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Hung Hau River Sea Transport","4204856","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669333","NAM MIEN TRUNG 36-BIDV","In Service/Commission","20090602","2009",1951,999,"Vietnam Register 2009-06","Vietnam","General Cargo Ship",660,561,897,763,.00,.00,37.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","CW6200ZC","4","Oil",0,"BIDV Bank for Investment","Vietnam","Vietnam","Nam Mien Trung Transport","","Vietnam","BIDV Financial Leasing Co Ltd","Vietnam","Vietnam","Nam Mien Trung Transport","4185277","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669357","QUANG ANH 18","In Service/Commission","20080409","2008",976,499,"Vietnam Register 2008-04","Vietnam","General Cargo Ship",401,0,545,0,.00,.00,25.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","Z8170ZLC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Quang Anh Trading & Shpg Co","Vietnam","Vietnam","Quang Anh Trading & Shpg Co","Vietnam","Vietnam","Quang Anh Trading & Shpg Co","5086375","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669436","MINH TAM 09-BIDV","In Service/Commission","20081117","2008",1816,999,"Vietnam Register 2008-11","Vietnam","General Cargo Ship",721,0,980,0,.00,.00,41.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"CKD","6L350PN","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Lien Phu River Sea Trans Co","Vietnam","Vietnam","BIDV Financial Leasing Co Ltd","Vietnam","Vietnam","Lien Phu River Sea Trans Co","4099594","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669450","MINH TUAN 99","In Service/Commission","20091123","2009",677,420,"Vietnam Register 2009-11","Vietnam","General Cargo Ship",255,0,347,0,.00,.00,7.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","R6160ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Minh Tuan Pte Waterway Trans","Vietnam","Vietnam","Minh Tuan Pte Waterway Trans","Vietnam","Vietnam","Minh Tuan Pte Waterway Trans","5228001","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669462","PHU GIA 15-ALCI","In Service/Commission","20090216","2009",935,499,"Vietnam Register 2009-02","Vietnam","General Cargo Ship",400,0,544,0,.00,.00,14.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","6135CA","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Hoang Phat Waterway Transport","Vietnam","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Hoang Phat Waterway Transport","5253146","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669486","QUANG THING 18","In Service/Commission","20091208","2009",3075,1583,"Vietnam Register 2009-12","Vietnam","General Cargo Ship",730,620,993,843,.00,.00,110.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Skoda","6L350PN","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Quang Thinh Co Ltd","Vietnam","Vietnam","Quang Thinh Co Ltd","Vietnam","Vietnam","Quang Thinh Co Ltd","5082987","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669515","THANH PHONG 36","In Service/Commission","20090220","2009",2726,1447,"Vietnam Register 2009-02","Vietnam","General Cargo Ship",660,0,898,0,.00,.00,28.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","X6170ZCA","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Thanh Phong Shipping","Vietnam","Vietnam","Thanh Phong Shipping","Vietnam","Vietnam","Thanh Phong Shipping","5227666","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669527","TRUNG THANG 88 BIDV","In Service/Commission","20090608","2009",3199,1599,"Vietnam Register 2009-06","Vietnam","General Cargo Ship",720,0,979,0,.00,.00,59.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","CW8200ZC","4","Oil",0,"BIDV Bank for Investment","Vietnam","Vietnam","Trung Thang Service JSC","","Vietnam","BIDV Financial Leasing Co Ltd","Vietnam","Vietnam","Trung Thang Service JSC","4204944","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669539","TRUONG AN 26","In Service/Commission","20081006","2008",2387,1325,"Vietnam Register 2008-10","Vietnam","General Cargo Ship",632,0,860,0,.00,.00,37.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","6200Z","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Truong An Transport & Trading","Vietnam","Vietnam","Truong An Transport & Trading","Vietnam","Vietnam","Truong An Transport & Trading","5227741","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669541","TRUONG AN 28","In Service/Commission","20081112","2008",3093,1599,"Vietnam Register 2008-11","Vietnam","General Cargo Ship",735,0,999,0,.00,.00,130.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"S.K.L.","8NVD48","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Truong An Transport & Trading","Vietnam","Vietnam","Truong An Transport & Trading","Vietnam","Vietnam","Truong An Transport & Trading","5227741","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669553","PHUONG DONG 36-ALCI","In Service/Commission","20090714","2009",935,499,"Vietnam Register 2009-07","Vietnam","General Cargo Ship",400,0,544,0,.00,.00,14.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","6135CA","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Phuong Dong A & A Co Ltd","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Phuong Dong A & A Co Ltd","4204975","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8669577","XIANG TAI 1","In Service/Commission","20120426","2012",14851,10113,"China Classification Society 2012-04","China, People's Republic Of","Products Tanker",2970,0,4038,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Jiangsu Xiangtai Marine Co Ltd","China, People's Republic Of","China, People's Republic Of","Jiangsu Xiangtai Marine Co Ltd","China, People's Republic Of","China, People's Republic Of","Jiangsu Xiangtai Marine Co Ltd","4205081","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","Nanjing Jianghai Tanker Co Ltd","5800969","","China, People's Republic Of","CHR","China, People's Republic Of","Nanjing Jianghai Tanker Co Ltd","China, People's Republic Of","CHR","","China, People's Republic Of","5800969"
"8669931","SHENG YOU 221","In Service/Commission","20070314","2007",1600,989,"China Classification Society (Contemplated) 2007-04","China, People's Republic Of","Products Tanker",814,0,1106,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","KTA-19-M600","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Shenzhen Haifa Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Shenzhen Haifa Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Shenzhen Haifa Shipping Co Ltd","4106141","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8670100","C TORNADO","In Service/Commission","20000101","2000",83,163,"","Brazil","Tug",3420,2907,4650,3951,.00,.00,45.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",3,,3,"Mitsubishi","S12R-MPTA","4","Oil",0,"Camorim Servicos Maritimos","Brazil","Brazil","Camorim Servicos Maritimos","Brazil","Brazil","Camorim Servicos Maritimos","Brazil","Brazil","Camorim Servicos Maritimos","5314660","Brazil","Brazil","Brazil","BRZ","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8670136","PU DA HAI","In Service/Commission","20100315","2010",17965,11043,"China Classification Society 2010-03","China, People's Republic Of","Bulk Carrier",3310,2813,4500,3825,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Yanmar","8N330-EN","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Shanghai Puyuan Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Puyuan Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Puyuan Shipping Co","1853111","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","Shanghai Puyuan Shipping Co","1853111","China, People's Republic Of","China, People's Republic Of","CHR","China, People's Republic Of","  Unknown","","","","","9991001"
"8670148","DE YIN HAI","In Service/Commission","20091028","2009",3199,11585,"China Classification Society 2009-10","China, People's Republic Of","Passenger/Ro-Ro Ship (Vehicles)",5000,4250,6798,5778,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Daihatsu","8DKM-28","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","China Shipping Passenger Liner","China, People's Republic Of","China, People's Republic Of","China Yantai Salvage","China, People's Republic Of","China, People's Republic Of","China Shipping Passenger Liner","1795520","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","China Shipping Passenger Liner","1795520","China, People's Republic Of","China, People's Republic Of","CHR","China, People's Republic Of","  Unknown","","","","","9991001"
"8670784","BAO HANG 12","In Service/Commission","20111201","2011",24888,15579,"","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Baosteel Group Corp","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","5575308","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","Shanghai Baosteel Shipping Co","5575308","China, People's Republic Of","China, People's Republic Of","CHR","China, People's Republic Of","  Unknown","","","","","9991001"
"8670796","BAO HANG 15","In Service/Commission","20130301","2013",24852,15579,"","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Baosteel Group Corp","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","5575308","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","Shanghai Baosteel Shipping Co","5575308","China, People's Republic Of","China, People's Republic Of","CHR","China, People's Republic Of","  Unknown","","","","","9991001"
"8670825","CHANG AN WANG","In Service/Commission","20060401","2006",21028,12812,"","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"AVIC Capital Co Ltd","China, People's Republic Of","China, People's Republic Of","Zhejiang Changchang Shipping","","China, People's Republic Of","AVIC Leasing Co Ltd","China, People's Republic Of","China, People's Republic Of","Zhejiang Changchang Shipping","4206530","","China, People's Republic Of","China, People's Republic Of","CHR","Zhejiang Changchang Shipping","4206530","","China, People's Republic Of","CHR","China, People's Republic Of","  Unknown","","","","","9991001"
"8670837","ZHEN XING YOU 56","In Service/Commission","20110701","2011",15147,10104,"","China, People's Republic Of","Products Tanker",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Jiujiang Zhenxing Shipping Co","China, People's Republic Of","China, People's Republic Of","Jiujiang Zhenxing Shipping Co","China, People's Republic Of","China, People's Republic Of","Jiujiang Zhenxing Shipping Co","5061734","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671087","BAI SHI LING","In Service/Commission","20131224","2013",2105,10940,"China Classification Society 2013-12","China, People's Republic Of","Passenger/Ro-Ro Ship (Vehicles)",4080,3468,5548,4716,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"MAN-B&W","6L27/38","4","Oil",0,"Hainan Strait Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Hainan Strait Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Hainan Strait Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Hainan Strait Shipping Co Ltd","5386201","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671128","JIN TAI 618","In Service/Commission","20080430","2008",22133,13675,"China Classification Society 2008-04","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Taizhou Jintai Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Taizhou Jintai Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Taizhou Jintai Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Taizhou Jintai Shipping Co Ltd","4128636","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671348","MING ZHOU 35","In Service/Commission","20080319","2008",22446,14102,"China Classification Society 2008-03","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"China Merchants Bank","China, People's Republic Of","China, People's Republic Of","CMB Financial Leasing Co Ltd","China, People's Republic Of","China, People's Republic Of","CMB Financial Leasing Co Ltd","China, People's Republic Of","China, People's Republic Of","CMB Financial Leasing Co Ltd","5430749","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671415","BAO HANG 16","In Service/Commission","20130401","2013",24854,15579,"China Classification Society 2013-04","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Baosteel Group Corp","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","5575308","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671427","BAO HANG 22","In Service/Commission","20131129","2013",24831,15579,"China Classification Society 2013-11","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Baosteel Group Corp","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","5575308","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671439","BAO HANG 11","In Service/Commission","20111124","2011",24895,15579,"China Classification Society 2011-11","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Baosteel Group Corp","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","China, People's Republic Of","China, People's Republic Of","Shanghai Baosteel Shipping Co","5575308","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671453","WAN RONG 689","In Service/Commission","20050825","2005",1810,999,"International Ship Class'n (Contemplated) 2014-07","Kiribati","General Cargo Ship",735,0,999,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","","","Oil",0,"Akita Putera Lines PT","Indonesia","Indonesia","Akita Putera Lines PT","Indonesia","Indonesia","Akita Putera Lines PT","Indonesia","Indonesia","Akita Putera Lines PT","5311210","Indonesia","Indonesia","Indonesia","IDA","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671491","DONG HAI 102","In Service/Commission","20101010","2010",26130,15746,"China Classification Society 2010-10","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"China Huarong Financial","China, People's Republic Of","China, People's Republic Of","Ningbo Donghai Shpg Co Ltd","China, People's Republic Of","China, People's Republic Of","China Huarong Financial","China, People's Republic Of","China, People's Republic Of","Ningbo Donghai Shpg Co Ltd","4088864","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671506","CHANG JIN HAI","In Service/Commission","20090926","2009",23454,15824,"China Classification Society 2009-09","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Changjiang National Shipping","China, People's Republic Of","China, People's Republic Of","CSC Phoenix Co Ltd","China, People's Republic Of","China, People's Republic Of","ICBC Financial Leasing Co Ltd","China, People's Republic Of","China, People's Republic Of","CSC Phoenix Co Ltd","5542030","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671520","BEI LUN 9","In Service/Commission","20110629","2011",25302,15956,"China Classification Society 2011-06","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"China Ocean Aviation Group","China, People's Republic Of","China, People's Republic Of","Ningbo Beilun Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Ningbo Beilun Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Ningbo Beilun Shipping Co Ltd","4119381","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8671532","ZHE HAI 157","In Service/Commission","20100729","2010",26355,15819,"China Classification Society 2010-07","China, People's Republic Of","Bulk Carrier",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","","Oil",0,"Bank of Communications Co Ltd","China, People's Republic Of","China, People's Republic Of","Zhejiang Shipping  Wenzhou","China, People's Republic Of","China, People's Republic Of","Bank of Communications","China, People's Republic Of","China, People's Republic Of","Zhejiang Shipping  Wenzhou","5363323","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
