"LRIMOShipNo","ShipName","ShipStatus","ShipStatusEffectiveDate","YearOfBuild","Deadweight","GrossTonnage","ClassificationSociety","FlagName","ShiptypeLevel5","Powerkwmax","Powerkwservice","Powerbhpihpshpmax","Powerbhpihpshpservice","FuelConsumptionMainEnginesonly","FuelConsumptionTotal","FuelType1Capacity","FuelType1Code","FuelType1First","FuelType2Capacity","FuelType2Code","FuelType2Second","NumberOfAllEngines","NumberOfAuxiliaryEngines","NumberofMainEngines","MainEngineDesigner","MainEngineModel","MainEngineStrokeType","MainEngineType","TEU","GroupBeneficialOwner","GroupBeneficialOwnerCountryOfControl","GroupBeneficialOwnerCountryofDomicile","Operator","OperatorCountryOfControl","OperatorCountryofDomicileName","RegisteredOwner","RegisteredOwnerCountryOfControl","RegisteredOwnerCountryofDomicile","ShipManager","ShipManagerCompanyCode","ShipManagerCountryOfControl","ShipManagerCountryofDomicileName","ShipManagerCountryOfRegistration","ShipManagerCoutryofDomicileCode","TechnicalManager","TechnicalManagerCode","TechnicalManagerCountryOfControl","TechnicalManagerCountryOfDomicile","TechnicalManagerCountryOfDomicileCode","TechnicalManagerCountryOfRegistration","DOCCompany","DOCCompanyCountryofDomicile","DOCCompanyCountryofDomicilecode","DOCCountryOfControl","DOCCountryOfRegistration","DocumentofComplianceDOCCompanyCode"
"9177038","NOCC PAMPLONA","In Service/Commission","20100600","2000",12778,37237,"Det Norske Veritas 2001-99","Norway (Nis)","Vehicles Carrier",11060,0,15037,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,3,1,"B&W","7S50MC-C","2","Oil",0,"Norwegian Car Carriers ASA","Norway","Norway","NYK Line","Japan","Japan","NOCC Shipowning AS","Norway","Norway","Norwegian Car Carriers ASA","1532461","Norway","Norway","Norway","NOR","Wilhelmsen Ship Mgmt Korea Ltd","5148424","Norway","Korea, South","KRS","Korea, South","Wilhelmsen Ship Mgmt Korea Ltd","Korea, South","KRS","Norway","Korea, South","5148424"
"9177040","DRESDEN","In Service/Commission","20000531","2000",12743,37237,"Bureau Veritas 2013-10, Det Norske Veritas 2000-05","Cyprus","Vehicles Carrier",11060,0,15037,0,.00,42.00,195.00,"DF","Distillate Fuel",2300.00,"RF","Residual Fuel",4,3,1,"B&W","7S50MC-C","2","Oil",0,"Siem Offshore Inc","Norway","Norway","Siem Car Carriers AS","Norway","Norway","SCC Shipowning II DA","Norway","Norway","Siem Car Carriers AS","5546412","Norway","Norway","Norway","NOR","Star Reefers Poland Sp z oo","5251944","Cayman Islands","Poland","POL","Poland","Star Reefers Poland Sp z oo","Poland","POL","Cayman Islands","Poland","5251944"
"9177557","NAVIGATOR VENUS","In Service/Commission","20000919","2000",23503,17840,"Germanischer Lloyd 2001-00","Liberia","LPG Tanker",8520,7668,11584,10425,33.00,38.00,102.90,"DF","Distillate Fuel",1222.00,"RF","Residual Fuel",1,,1,"Sulzer","6RTA52","2","Oil",0,"Navigator Holdings Ltd","United Kingdom","United Kingdom","Navigator Gas LLC","United Kingdom","United Kingdom","Navigator Venus LLC","United Kingdom","United Kingdom","Navigator Gas LLC","5409142","United Kingdom","United Kingdom","Marshall Islands","GBI","Schulte Shipmanagement-UK","5318129","Germany","United Kingdom","GBI","United Kingdom","Schulte Shipmanagement-UK","United Kingdom","GBI","Germany","United Kingdom","5318129"
"9177569","NAVIGATOR SATURN","In Service/Commission","20001018","2000",23495,17840,"Germanischer Lloyd 2001-02","Liberia","LPG Tanker",9600,0,13052,0,33.00,38.00,196.00,"DF","Distillate Fuel",2008.00,"RF","Residual Fuel",1,,1,"Sulzer","6RTA52","2","Oil",0,"Navigator Holdings Ltd","United Kingdom","United Kingdom","Navigator Gas LLC","United Kingdom","United Kingdom","Navigator Saturn LLC","United Kingdom","United Kingdom","Navigator Gas LLC","5409142","United Kingdom","United Kingdom","Marshall Islands","GBI","Schulte Shipmanagement-UK","5318129","Germany","United Kingdom","GBI","United Kingdom","Schulte Shipmanagement-UK","United Kingdom","GBI","Germany","United Kingdom","5318129"
"9177571","NAVIGATOR PLUTO","In Service/Commission","20001122","2000",23484,17840,"Germanischer Lloyd 2001-02","Indonesia","LPG Tanker",9599,8520,13051,11584,33.00,38.00,69.00,"DF","Distillate Fuel",2135.00,"RF","Residual Fuel",1,,1,"Sulzer","6RTA52","2","Oil",0,"Navigator Holdings Ltd","United Kingdom","United Kingdom","Navigator Gas LLC","United Kingdom","United Kingdom","Navigator Khatulistiwa","United Kingdom","Indonesia","Navigator Gas LLC","5409142","United Kingdom","United Kingdom","Marshall Islands","GBI","Schulte Shipmanagement-UK","5318129","Germany","United Kingdom","GBI","United Kingdom","Schulte Shipmanagement-UK","United Kingdom","GBI","Germany","United Kingdom","5318129"
"9177583","NAVIGATOR NEPTUNE","In Service/Commission","20001221","2000",23495,17840,"Germanischer Lloyd 2000-03","Liberia","LPG Tanker",9599,8520,13051,11584,33.00,38.00,69.00,"DF","Distillate Fuel",2135.00,"RF","Residual Fuel",1,,1,"Sulzer","6RTA52","2","Oil",0,"Navigator Holdings Ltd","United Kingdom","United Kingdom","Navigator Gas LLC","United Kingdom","United Kingdom","Navigator Neptune LLC","United Kingdom","United Kingdom","Navigator Gas LLC","5409142","United Kingdom","United Kingdom","Marshall Islands","GBI","Schulte Shipmanagement-UK","5318129","Germany","United Kingdom","GBI","United Kingdom","Schulte Shipmanagement-UK","United Kingdom","GBI","Germany","United Kingdom","5318129"
"9177686","TAKASUZU","In Service/Commission","20000630","2000",279989,152145,"Nippon Kaiji Kyokai 2000-07","Panama","Crude Oil Tanker",27030,0,36750,0,100.00,105.00,398.00,"DF","Distillate Fuel",5653.00,"RF","Residual Fuel",1,,1,"Mitsubishi","7UEC85LSII","2","Oil",0,"NYK Line","Japan","Japan","NYK Line","Japan","Japan","Sakura/Burney Japan","Japan","Japan","NYK Line","0256062","Japan","Japan","Japan","JPN","NYK Shipmanagement Pte Ltd","1968365","Japan","Singapore","SNG","Singapore","NYK Shipmanagement Pte Ltd","Singapore","SNG","Japan","Singapore","1968365"
"9177894","HESTIA","In Service/Commission","20100526","2000",2500,1846,"Bureau Veritas 2001-00","Antigua & Barbuda","General Cargo Ship",1500,1350,2039,1835,6.50,6.80,126.94,"DF","Distillate Fuel",.00,"NN","Not Applicable",3,2,1,"Deutz","SBV8M628","4","Oil",124,"Lauterjung M Reederei GmbH","Germany","Germany","Wilson EuroCarriers AS","Norway","Norway","Hestia KG","Germany","Germany","Sunship Schiffahrtskontor KG","0586502","Germany","Germany","Germany","GEU","Sunship Schiffahrtskontor KG","0586502","Germany","Germany","GEU","Germany","Sunship Schiffahrtskontor KG","Germany","GEU","Germany","Germany","0586502"
"9178238","SINAR EMAS","In Service/Commission","20000420","2000",18010,13960,"Lloyd's Register 2000-04-20, Biro Klasifikasi Indonesia 2010-05","Indonesia","Products Tanker",4900,0,6662,0,21.40,.00,.00,"DF","Distillate Fuel",860.00,"RF","Residual Fuel",5,4,1,"B&W","7S35MC","2","Oil",0,"Samudera Indonesia Tbk PT","Indonesia","Indonesia","Samudera Indonesia Ship","Indonesia","Indonesia","Samudera Shipping Services PT","Indonesia","Indonesia","Samudera Indonesia Ship","1592194","Indonesia","Indonesia","Indonesia","IDA","Samudera Indonesia Ship","1592194","Indonesia","Indonesia","IDA","Indonesia","Samudera Indonesia Ship","Indonesia","IDA","Indonesia","Indonesia","1592194"
"9178240","SINAR JOGYA","In Service/Commission","20010100","2001",18050,13960,"Lloyd's Register 2001-01-00, Biro Klasifikasi Indonesia 2011-02","Indonesia","Products Tanker",4670,0,6349,0,21.40,.00,133.00,"DF","Distillate Fuel",957.00,"RF","Residual Fuel",4,3,1,"B&W","7S35MC","2","Oil",0,"Samudera Indonesia Tbk PT","Indonesia","Indonesia","Samudera Indonesia Ship","Indonesia","Indonesia","Samudera Shipping Services PT","Indonesia","Indonesia","Samudera Indonesia Ship","1592194","Indonesia","Indonesia","Indonesia","IDA","Samudera Indonesia Ship","1592194","Indonesia","Indonesia","IDA","Indonesia","Samudera Indonesia Ship","Indonesia","IDA","Indonesia","Indonesia","1592194"
